tweet_author,tweet,like_count
Donald Trump,"Pennsylvania Ballot “mistakes” made, in my opinion, on purpose by the Democrat Governor, puts Republicans, in particular @SeanParnellUSA, at great risk. Corrupt politics in Pennsylvania must be investigated immediately. By the way, Philadelphia is out of control. @TheJusticeDept",109262
Donald Trump,"To all of those who have asked, I will not be going to the Inauguration on January 20th.",510761
Donald Trump,https://t.co/GnGXzUZeo9,111754
Donald Trump,THIS SAYS IT ALL! https://t.co/zZSspsJPe9,216066
Donald Trump,I have reversed the ridiculous decision to cancel Wreaths Across America at Arlington National Cemetery. It will now go on!,478875
Donald Trump,"The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were massive improprieties and fraud - including dead people voting, Poll Watchers not allowed into polling locations, “glitches” in the voting machines which changed...",229328
Donald Trump,Yesterday’s news conference being broadcast in full now on @Newsmax. Enjoy!,210472
Donald Trump,"Have a GREAT “MAGA-GRAS” Rally today on our wonderful Long Island. Cut Taxes, Stop Crime, VOTE FOR TRUMP. Our City and State are a MESS. What do you have to lose? Thank you!!!",170037
Donald Trump,"Congratulations to @SenRonJohnson for his dogged pursuit, as Chairman of Homeland, of POLITICAL CORRUPTION!",115627
Donald Trump,Important News Conference today by lawyers on a very clear and viable path to victory. Pieces are very nicely falling into place. RNC at 12:00 P.M.,331293
Donald Trump,All newly rebuilt military! https://t.co/EFwUReJgcD,147857
Donald Trump,"THANK YOU NEW HAMPSHIRE!
https://t.co/XEoCm4v1M5",60488
Donald Trump,Amazing! https://t.co/jQXxeQlovz,42462
Donald Trump,"Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as President, just thrown out because of large scale voter discrepancy. Clark County officials do not have confidence in their own election security. Major impact! https://t.co/TLHnFKNN6g",282313
Donald Trump,THEY WOULD’NT LET REPUBLICAN POLL WATCHERS INTO THE COUNTING ROOMS. UNCONSTITUTIONAL!!!,375037
Donald Trump,"Wrong! At first they voted against because there were far more VOTES than PEOPLE (Sad!). Then they were threatened, screamed at and viciously harassed, and were FORCED to change their vote, but then REFUSED, as American patriots, to sign the documents. 71% MESS. Don’t Harass! https://t.co/n5frpesHfD",139281
Donald Trump,"The only thing secure about our 2020 Election was that it was virtually impenetrable by foreign powers. On that, the Trump Administration takes great credit. Unfortunately, the Radical Left Democrats, Dominion, and others, were perhaps more successful!",229381
Donald Trump,"...votes from Trump to Biden, late voting, and many more. Therefore, effective immediately, Chris Krebs has been terminated as Director of the Cybersecurity and Infrastructure Security Agency.",176160
Donald Trump,“DEAD PEOPLE VOTED” https://t.co/y6WRvCBykc,174778
Donald Trump,So much truth! https://t.co/KGBQDEPEkV,194626
Donald Trump,"Well, it’s really quite simple. You just can’t have more votes than people! https://t.co/kVtop3WsLp",192241
Donald Trump,"More votes than people, and that is the least of it!!! https://t.co/mSO4Ufwn2g",175131
Donald Trump,"Flip Michigan back to TRUMP. Detroit, not surprisingly, has tremendous problems! https://t.co/RHhuoSMICg",146600
Donald Trump,Carney: Joe Biden‘s Energy Plan Would Eviscerate Wisconsin Sand Miners https://t.co/2PtP3Rj0Id via @BreitbartNews Wisconsin would be badly hurt because Biden would definitely end Fracking. No more Sand Mine usage!,53727
